"","spatial_verb","participant","pct_correct","group"
"1","no","L2SPAN_2023_02",0.583333333333333,"L2 learners"
"2","no","L2SPAN_2023_04",0.833333333333333,"L2 learners"
"3","no","L2SPAN_2023_05",0.916666666666667,"L2 learners"
"4","no","L2SPAN_2023_19",0.666666666666667,"L2 learners"
"5","no","L2SPAN_2023_20",0.583333333333333,"L2 learners"
"6","no","L2SPAN_2023_25",1,"L2 learners"
"7","no","L2SPAN_2023_28",0.75,"L2 learners"
"8","no","L2SPAN_2023_30",0.833333333333333,"L2 learners"
"9","no","L2SPAN_2023_36",1,"L2 learners"
"10","no","L2SPAN_2023_41",1,"L2 learners"
"11","no","L2SPAN_2023_42",0.75,"L2 learners"
"12","no","L2SPAN_2023_44",0.583333333333333,"L2 learners"
"13","no","L2SPAN_2023_45",1,"L2 learners"
"14","no","L2SPAN_2023_46",1,"L2 learners"
"15","no","L2SPAN_2023_47",0.583333333333333,"L2 learners"
"16","no","L2SPAN_2023_49",0.666666666666667,"L2 learners"
"17","no","L2SPAN_2023_63",0.833333333333333,"L2 learners"
"18","no","L2SPAN_2023_68",0.916666666666667,"L2 learners"
"19","no","L2SPAN_2023_70",0.916666666666667,"L2 learners"
"20","no","L2SPAN_2023_74",0.916666666666667,"L2 learners"
"21","no","L2SPAN_2023_77",0.916666666666667,"L2 learners"
"22","yes","L2SPAN_2023_02",0.583333333333333,"L2 learners"
"23","yes","L2SPAN_2023_04",0.75,"L2 learners"
"24","yes","L2SPAN_2023_05",0.916666666666667,"L2 learners"
"25","yes","L2SPAN_2023_19",0.916666666666667,"L2 learners"
"26","yes","L2SPAN_2023_20",0.583333333333333,"L2 learners"
"27","yes","L2SPAN_2023_25",0.916666666666667,"L2 learners"
"28","yes","L2SPAN_2023_28",0.916666666666667,"L2 learners"
"29","yes","L2SPAN_2023_30",0.916666666666667,"L2 learners"
"30","yes","L2SPAN_2023_36",0.916666666666667,"L2 learners"
"31","yes","L2SPAN_2023_41",0.916666666666667,"L2 learners"
"32","yes","L2SPAN_2023_42",0.75,"L2 learners"
"33","yes","L2SPAN_2023_44",0.666666666666667,"L2 learners"
"34","yes","L2SPAN_2023_45",1,"L2 learners"
"35","yes","L2SPAN_2023_46",1,"L2 learners"
"36","yes","L2SPAN_2023_47",0.416666666666667,"L2 learners"
"37","yes","L2SPAN_2023_49",0.833333333333333,"L2 learners"
"38","yes","L2SPAN_2023_63",0.75,"L2 learners"
"39","yes","L2SPAN_2023_68",0.916666666666667,"L2 learners"
"40","yes","L2SPAN_2023_70",0.916666666666667,"L2 learners"
"41","yes","L2SPAN_2023_74",1,"L2 learners"
"42","yes","L2SPAN_2023_77",0.833333333333333,"L2 learners"
"43","no","ADV_EN_16",0.833333333333333,"monolinguals"
"44","no","ADV_EN_17",0.666666666666667,"monolinguals"
"45","no","ADV_EN_18",1,"monolinguals"
"46","no","ADV_EN_19",1,"monolinguals"
"47","no","ADV_EN_20",1,"monolinguals"
"48","no","ADV_EN_21",0.833333333333333,"monolinguals"
"49","no","ADV_EN_22",1,"monolinguals"
"50","no","ADV_EN_23",1,"monolinguals"
"51","no","ADV_EN_24",0.916666666666667,"monolinguals"
"52","no","ADV_EN_25",1,"monolinguals"
"53","no","ADV_EN_28",0.916666666666667,"monolinguals"
"54","no","ADV_EN_30",1,"monolinguals"
"55","no","INC_J_ADC_05",1,"monolinguals"
"56","no","INC_J_ADV_01",1,"monolinguals"
"57","no","INC_J_ADV_011",0.833333333333333,"monolinguals"
"58","no","INC_J_ADV_02",0.916666666666667,"monolinguals"
"59","no","INC_J_ADV_03",1,"monolinguals"
"60","no","INC_J_ADV_04",1,"monolinguals"
"61","no","INC_J_ADV_06",1,"monolinguals"
"62","no","INC_J_ADV_07",1,"monolinguals"
"63","no","INC_J_BEEG_08",1,"monolinguals"
"64","no","INC_J_BEG_01",1,"monolinguals"
"65","no","INC_J_BEG_010",0.666666666666667,"monolinguals"
"66","no","INC_J_BEG_011",1,"monolinguals"
"67","no","INC_J_BEG_012",0.833333333333333,"monolinguals"
"68","no","INC_J_BEG_013",1,"monolinguals"
"69","no","INC_J_BEG_014",1,"monolinguals"
"70","no","INC_J_BEG_015",0.916666666666667,"monolinguals"
"71","no","INC_J_BEG_02",0.666666666666667,"monolinguals"
"72","no","INC_J_BEG_05",0.583333333333333,"monolinguals"
"73","no","INC_J_BEG_06",0.75,"monolinguals"
"74","no","INC_J_BEG_09",0.833333333333333,"monolinguals"
"75","no","inc_j_beg_04",0.583333333333333,"monolinguals"
"76","yes","ADV_EN_16",0.916666666666667,"monolinguals"
"77","yes","ADV_EN_17",1,"monolinguals"
"78","yes","ADV_EN_18",1,"monolinguals"
"79","yes","ADV_EN_19",1,"monolinguals"
"80","yes","ADV_EN_20",1,"monolinguals"
"81","yes","ADV_EN_21",0.75,"monolinguals"
"82","yes","ADV_EN_22",1,"monolinguals"
"83","yes","ADV_EN_23",1,"monolinguals"
"84","yes","ADV_EN_24",1,"monolinguals"
"85","yes","ADV_EN_25",1,"monolinguals"
"86","yes","ADV_EN_28",1,"monolinguals"
"87","yes","ADV_EN_30",0.833333333333333,"monolinguals"
"88","yes","INC_J_ADC_05",1,"monolinguals"
"89","yes","INC_J_ADV_01",1,"monolinguals"
"90","yes","INC_J_ADV_011",1,"monolinguals"
"91","yes","INC_J_ADV_02",1,"monolinguals"
"92","yes","INC_J_ADV_03",1,"monolinguals"
"93","yes","INC_J_ADV_04",1,"monolinguals"
"94","yes","INC_J_ADV_06",1,"monolinguals"
"95","yes","INC_J_ADV_07",1,"monolinguals"
"96","yes","INC_J_BEEG_08",1,"monolinguals"
"97","yes","INC_J_BEG_01",1,"monolinguals"
"98","yes","INC_J_BEG_010",0.833333333333333,"monolinguals"
"99","yes","INC_J_BEG_011",1,"monolinguals"
"100","yes","INC_J_BEG_012",0.916666666666667,"monolinguals"
"101","yes","INC_J_BEG_013",1,"monolinguals"
"102","yes","INC_J_BEG_014",1,"monolinguals"
"103","yes","INC_J_BEG_015",1,"monolinguals"
"104","yes","INC_J_BEG_02",0.916666666666667,"monolinguals"
"105","yes","INC_J_BEG_05",0.416666666666667,"monolinguals"
"106","yes","INC_J_BEG_06",1,"monolinguals"
"107","yes","INC_J_BEG_09",1,"monolinguals"
"108","yes","inc_j_beg_04",0.5,"monolinguals"
